Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-08-03T10:00:00.000Z,demo-session-01,,Included,cursor-grok-4.6-high-fast,No,1091,1359,4213,693,7356,Included
2026-08-03T12:11:00.000Z,demo-session-02,,Included,claude-4.6-sonnet,No,1132,1388,4230,706,7456,Included
2026-08-03T14:22:00.000Z,demo-session-03,,Included,claude-4.5-haiku,No,1173,1417,4247,719,7556,Included
2026-08-03T02:33:00.000Z,demo-session-04,,Included,gpt-5.4,No,1214,1446,4264,732,7656,Included
2026-08-03T04:44:00.000Z,demo-session-05,,Included,auto,No,1255,1475,4281,745,7756,Included
2026-08-03T06:55:00.000Z,demo-session-06,,Included,composer-2.5-fast,No,1296,1504,4298,758,7856,Included
2026-08-04T13:00:00.000Z,demo-session-07,,Included,claude-4.6-sonnet,No,1188,1412,4284,724,7608,Included
2026-08-04T01:11:00.000Z,demo-session-08,,Included,claude-4.5-haiku,No,1229,1441,4301,737,7708,Included
2026-08-04T03:22:00.000Z,demo-session-09,,Included,gpt-5.4,No,1270,1470,4318,750,7808,Included
2026-08-04T05:33:00.000Z,demo-session-10,,Included,auto,No,1311,1499,4335,763,7908,Included
2026-08-05T02:00:00.000Z,demo-session-11,,Included,claude-4.5-haiku,No,1285,1465,4355,755,7860,Included
2026-08-05T04:11:00.000Z,demo-session-12,,Included,gpt-5.4,No,1326,1494,4372,768,7960,Included
2026-08-05T06:22:00.000Z,demo-session-13,,Included,auto,No,1367,1523,4389,781,8060,Included
2026-08-06T05:00:00.000Z,demo-session-14,,Included,gpt-5.4,No,1382,1518,4426,786,8112,Included
2026-08-06T07:11:00.000Z,demo-session-15,,Included,auto,No,1423,1547,4443,799,8212,Included
2026-08-06T09:22:00.000Z,demo-session-16,,Included,composer-2.5-fast,No,1464,1576,4460,812,8312,Included
2026-08-06T11:33:00.000Z,demo-session-17,,Included,cursor-grok-4.6-high,No,1505,1605,4477,825,8412,Included
2026-08-06T13:44:00.000Z,demo-session-18,,Included,cursor-grok-4.6-high-fast,No,1546,1634,4494,838,8512,Included
2026-08-06T01:55:00.000Z,demo-session-19,,Included,claude-4.6-sonnet,No,1587,1663,4511,851,8612,Included
2026-08-07T08:00:00.000Z,demo-session-20,,Included,auto,No,1479,1571,4497,817,8364,Included
2026-08-07T10:11:00.000Z,demo-session-21,,Included,composer-2.5-fast,No,1520,1600,4514,830,8464,Included
2026-08-07T12:22:00.000Z,demo-session-22,,Included,cursor-grok-4.6-high,No,1561,1629,4531,843,8564,Included
2026-08-07T14:33:00.000Z,demo-session-23,,Included,cursor-grok-4.6-high-fast,No,1602,1658,4548,856,8664,Included
2026-08-08T11:00:00.000Z,demo-session-24,,Included,composer-2.5-fast,No,1576,1624,4568,848,8616,Included
2026-08-08T13:11:00.000Z,demo-session-25,,Included,cursor-grok-4.6-high,No,1617,1653,4585,861,8716,Included
2026-08-08T01:22:00.000Z,demo-session-26,,Included,cursor-grok-4.6-high-fast,No,1658,1682,4602,874,8816,Included
2026-08-08T03:33:00.000Z,demo-session-27,,Included,claude-4.6-sonnet,No,1699,1711,4619,887,8916,Included
2026-08-09T14:00:00.000Z,demo-session-28,,Included,cursor-grok-4.6-high,No,1673,1677,4639,879,8868,Included
2026-08-09T02:11:00.000Z,demo-session-29,,Included,cursor-grok-4.6-high-fast,No,1714,1706,4656,892,8968,Included
2026-08-09T04:22:00.000Z,demo-session-30,,Included,claude-4.6-sonnet,No,1755,1735,4673,905,9068,Included
2026-08-09T06:33:00.000Z,demo-session-31,,Included,claude-4.5-haiku,No,1796,1764,4690,918,9168,Included
2026-08-09T08:44:00.000Z,demo-session-32,,Included,gpt-5.4,No,1837,1793,4707,931,9268,Included
2026-08-09T10:55:00.000Z,demo-session-33,,Included,auto,No,1878,1822,4724,944,9368,Included
2026-08-10T03:00:00.000Z,demo-session-34,,Included,cursor-grok-4.6-high-fast,No,1770,1730,4710,910,9120,Included
2026-08-10T05:11:00.000Z,demo-session-35,,Included,claude-4.6-sonnet,No,1811,1759,4727,923,9220,Included
2026-08-10T07:22:00.000Z,demo-session-36,,Included,claude-4.5-haiku,No,1852,1788,4744,936,9320,Included
2026-08-11T06:00:00.000Z,demo-session-37,,Included,claude-4.6-sonnet,No,1867,1783,4781,941,9372,Included
2026-08-11T08:11:00.000Z,demo-session-38,,Included,claude-4.5-haiku,No,1908,1812,4798,954,9472,Included
2026-08-11T10:22:00.000Z,demo-session-39,,Included,gpt-5.4,No,1949,1841,4815,967,9572,Included
2026-08-11T12:33:00.000Z,demo-session-40,,Included,auto,No,1990,1870,4832,980,9672,Included
2026-08-12T09:00:00.000Z,demo-session-41,,Included,claude-4.5-haiku,No,1964,1836,4852,972,9624,Included
2026-08-12T11:11:00.000Z,demo-session-42,,Included,gpt-5.4,No,2005,1865,4869,985,9724,Included
2026-08-12T13:22:00.000Z,demo-session-43,,Included,auto,No,2046,1894,4886,998,9824,Included
